Run,PTEV,PTES,NumSlots,NumAttributes,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION
14.0,1.0,0.5,6.0,6.0,33600.,.5101,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,32400.,-.114,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,31200.,.6779,0.0,.6667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,30000.,.3619,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,28800.,.6776,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,27600.,.6105,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,26400.,.4523,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,25200.,.4523,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,24000.,.3619,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,22800.,-0.04,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,21600.,.4523,0.0,0.0,0.3,5.0
14.0,1.0,0.5,6.0,6.0,20400.,.5394,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,19200.,0.648,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,18000.,0.648,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,16800.,-.114,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,15600.,.6779,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,14400.,.4523,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,13200.,.3619,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,12000.,-0.14,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,10800.,.5394,0.0,0.5,0.3,5.0
14.0,1.0,0.5,6.0,6.0,9600.,.5394,0.0,.3333,0.3,5.0
14.0,1.0,0.5,6.0,6.0,8400.,-0.14,0.0,.1667,0.3,5.0
14.0,1.0,0.5,6.0,6.0,7200.,.4523,0.0,0.0,0.3,5.0
14.0,1.0,0.5,6.0,6.0,6000.,.4523,0.0,0.0,0.3,5.0
