Run,PTEV,PTES,Gamma,NumSlots,NumAttributes,MemorySize,MemoryEntropy,NumDaysBefore,NumDaysAfter,EventFrequency,RuminationFrequency,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION,RT
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4859,100.0000,60.0000,20.0000,20.0000,13794901.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4785,100.0000,60.0000,20.0000,20.0000,13791721.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4763,100.0000,60.0000,20.0000,20.0000,13790881.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4295,100.0000,60.0000,20.0000,20.0000,13781881.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4396,100.0000,60.0000,20.0000,20.0000,13779301.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3665,100.0000,60.0000,20.0000,20.0000,13775701.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4184,100.0000,60.0000,20.0000,20.0000,13773001.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3855,100.0000,60.0000,20.0000,20.0000,13771921.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3799,100.0000,60.0000,20.0000,20.0000,13770541.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4429,100.0000,60.0000,20.0000,20.0000,13770301.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4512,100.0000,60.0000,20.0000,20.0000,13769582.0000,0.5850,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3045,100.0000,60.0000,20.0000,20.0000,13763941.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4385,100.0000,60.0000,20.0000,20.0000,13763461.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4422,100.0000,60.0000,20.0000,20.0000,13762741.0000,0.4137,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4396,100.0000,60.0000,20.0000,20.0000,13762141.0000,0.4223,0.0000,NIL,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3882,100.0000,60.0000,20.0000,20.0000,13758361.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3187,100.0000,60.0000,20.0000,20.0000,13755842.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3118,100.0000,60.0000,20.0000,20.0000,13755001.0000,0.5270,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3097,100.0000,60.0000,20.0000,20.0000,13754881.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.2441,100.0000,60.0000,20.0000,20.0000,13754701.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4464,100.0000,60.0000,20.0000,20.0000,13754521.0000,0.3013,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4053,100.0000,60.0000,20.0000,20.0000,13753201.0000,0.3296,0.0000,0.2500,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4665,100.0000,60.0000,20.0000,20.0000,13751641.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4981,100.0000,60.0000,20.0000,20.0000,13747381.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.5151,100.0000,60.0000,20.0000,20.0000,13745101.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4793,100.0000,60.0000,20.0000,20.0000,13713961.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4533,100.0000,60.0000,20.0000,20.0000,13693261.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4350,100.0000,60.0000,20.0000,20.0000,13689001.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4295,100.0000,60.0000,20.0000,20.0000,13684381.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4169,100.0000,60.0000,20.0000,20.0000,13682161.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4117,100.0000,60.0000,20.0000,20.0000,13681441.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3746,100.0000,60.0000,20.0000,20.0000,13677781.0000,0.5672,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3342,100.0000,60.0000,20.0000,20.0000,13677241.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3642,100.0000,60.0000,20.0000,20.0000,13677181.0000,-0.4082,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.2357,100.0000,60.0000,20.0000,20.0000,13675861.0000,0.4379,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3983,100.0000,60.0000,20.0000,20.0000,13675740.0000,0.5026,0.0000,0.7500,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3534,100.0000,60.0000,20.0000,20.0000,13673941.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3057,100.0000,60.0000,20.0000,20.0000,13671661.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3627,100.0000,60.0000,20.0000,20.0000,13670341.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4057,100.0000,60.0000,20.0000,20.0000,13667161.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.1842,100.0000,60.0000,20.0000,20.0000,13663380.0000,0.2523,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4304,100.0000,60.0000,20.0000,20.0000,13663321.0000,0.3347,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4291,100.0000,60.0000,20.0000,20.0000,13663201.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4038,100.0000,60.0000,20.0000,20.0000,13660860.0000,0.6468,0.0000,0.2500,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4148,100.0000,60.0000,20.0000,20.0000,13659540.0000,0.5880,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3569,100.0000,60.0000,20.0000,20.0000,13657381.0000,0.3399,0.0000,0.3750,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4728,100.0000,60.0000,20.0000,20.0000,13657021.0000,0.6033,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4248,100.0000,60.0000,20.0000,20.0000,13620721.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3910,100.0000,60.0000,20.0000,20.0000,13617181.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3855,100.0000,60.0000,20.0000,20.0000,13616881.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3148,100.0000,60.0000,20.0000,20.0000,13615321.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3508,100.0000,60.0000,20.0000,20.0000,13614780.0000,0.5125,0.0000,0.6250,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4470,100.0000,60.0000,20.0000,20.0000,13614301.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.4452,100.0000,60.0000,20.0000,20.0000,13613762.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3307,100.0000,60.0000,20.0000,20.0000,13599121.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3166,100.0000,60.0000,20.0000,20.0000,13596841.0000,0.5782,0.0000,0.5000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.2296,100.0000,60.0000,20.0000,20.0000,13593841.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
0.0000,1.0000,0.0000,0.9500,8.0000,4.0000,NIL,7.3006,100.0000,60.0000,20.0000,20.0000,13593541.0000,0.0000,0.0000,0.0000,0.5000,4.0000,0.0000
