Intensity,BLC,Threshold,Stimulus,Percentage
1.0000,0.5000,1.0000,A--,0.9000
1.0000,0.5000,1.0000,B--,0.6700
1.0000,0.5000,1.0000,X--,0.7500
1.0000,1.0000,1.0000,A--,0.9400
1.0000,1.0000,1.0000,B--,0.7300
1.0000,1.0000,1.0000,X--,0.7700
1.0000,1.5000,1.0000,A--,0.9400
1.0000,1.5000,1.0000,B--,0.7200
1.0000,1.5000,1.0000,X--,0.7200
1.0000,2.0000,1.0000,A--,0.9300
1.0000,2.0000,1.0000,B--,0.7400
1.0000,2.0000,1.0000,X--,0.7600
1.0000,2.5000,1.0000,A--,0.9500
1.0000,2.5000,1.0000,B--,0.7600
1.0000,2.5000,1.0000,X--,0.8000
1.0000,3.0000,1.0000,A--,0.9400
1.0000,3.0000,1.0000,B--,0.6300
1.0000,3.0000,1.0000,X--,0.7800
1.0000,3.5000,1.0000,A--,0.7300
1.0000,3.5000,1.0000,B--,0.4500
1.0000,3.5000,1.0000,X--,0.4400
1.0000,4.0000,1.0000,A--,0.3400
1.0000,4.0000,1.0000,B--,0.1000
1.0000,4.0000,1.0000,X--,0.1500
1.0000,4.5000,1.0000,A--,0.0400
1.0000,4.5000,1.0000,B--,0.0100
1.0000,4.5000,1.0000,X--,0.0100
1.0000,5.0000,1.0000,A--,0.0100
1.0000,5.0000,1.0000,B--,0.0000
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.8300
1.0000,0.5000,1.0000,B--,0.7400
1.0000,0.5000,1.0000,X--,0.7500
1.0000,1.0000,1.0000,A--,0.8400
1.0000,1.0000,1.0000,B--,0.7000
1.0000,1.0000,1.0000,X--,0.7400
1.0000,1.5000,1.0000,A--,0.9200
1.0000,1.5000,1.0000,B--,0.7700
1.0000,1.5000,1.0000,X--,0.7600
1.0000,2.0000,1.0000,A--,0.9100
1.0000,2.0000,1.0000,B--,0.7000
1.0000,2.0000,1.0000,X--,0.8000
1.0000,2.5000,1.0000,A--,0.9000
1.0000,2.5000,1.0000,B--,0.6800
1.0000,2.5000,1.0000,X--,0.7300
1.0000,3.0000,1.0000,A--,0.9300
1.0000,3.0000,1.0000,B--,0.7500
1.0000,3.0000,1.0000,X--,0.7800
1.0000,3.5000,1.0000,A--,0.7900
1.0000,3.5000,1.0000,B--,0.4900
1.0000,3.5000,1.0000,X--,0.4400
1.0000,4.0000,1.0000,A--,0.4000
1.0000,4.0000,1.0000,B--,0.0900
1.0000,4.0000,1.0000,X--,0.1500
1.0000,4.5000,1.0000,A--,0.0600
1.0000,4.5000,1.0000,B--,0.0200
1.0000,4.5000,1.0000,X--,0.0200
1.0000,5.0000,1.0000,A--,0.0100
1.0000,5.0000,1.0000,B--,0.0000
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.9300
1.0000,0.5000,1.0000,B--,0.7500
1.0000,0.5000,1.0000,X--,0.7500
1.0000,1.0000,1.0000,A--,0.9300
1.0000,1.0000,1.0000,B--,0.7400
1.0000,1.0000,1.0000,X--,0.7600
1.0000,1.5000,1.0000,A--,0.9000
1.0000,1.5000,1.0000,B--,0.7800
1.0000,1.5000,1.0000,X--,0.7700
1.0000,2.0000,1.0000,A--,0.9100
1.0000,2.0000,1.0000,B--,0.6800
1.0000,2.0000,1.0000,X--,0.7800
1.0000,2.5000,1.0000,A--,0.9000
1.0000,2.5000,1.0000,B--,0.8000
1.0000,2.5000,1.0000,X--,0.7800
1.0000,3.0000,1.0000,A--,0.9200
1.0000,3.0000,1.0000,B--,0.7000
1.0000,3.0000,1.0000,X--,0.7900
1.0000,3.5000,1.0000,A--,0.7700
1.0000,3.5000,1.0000,B--,0.5300
1.0000,3.5000,1.0000,X--,0.5100
1.0000,4.0000,1.0000,A--,0.2800
1.0000,4.0000,1.0000,B--,0.1100
1.0000,4.0000,1.0000,X--,0.0900
1.0000,4.5000,1.0000,A--,0.0200
1.0000,4.5000,1.0000,B--,0.0400
1.0000,4.5000,1.0000,X--,0.0200
1.0000,5.0000,1.0000,A--,0.0000
1.0000,5.0000,1.0000,B--,0.0000
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.9100
1.0000,0.5000,1.0000,B--,0.7800
1.0000,0.5000,1.0000,X--,0.8000
1.0000,1.0000,1.0000,A--,0.9000
1.0000,1.0000,1.0000,B--,0.6700
1.0000,1.0000,1.0000,X--,0.7800
1.0000,1.5000,1.0000,A--,0.8900
1.0000,1.5000,1.0000,B--,0.6800
1.0000,1.5000,1.0000,X--,0.8100
1.0000,2.0000,1.0000,A--,0.9200
1.0000,2.0000,1.0000,B--,0.7600
1.0000,2.0000,1.0000,X--,0.7300
1.0000,2.5000,1.0000,A--,0.9000
1.0000,2.5000,1.0000,B--,0.7400
1.0000,2.5000,1.0000,X--,0.7200
1.0000,3.0000,1.0000,A--,0.8600
1.0000,3.0000,1.0000,B--,0.7600
1.0000,3.0000,1.0000,X--,0.8000
1.0000,3.5000,1.0000,A--,0.7500
1.0000,3.5000,1.0000,B--,0.4500
1.0000,3.5000,1.0000,X--,0.5100
1.0000,4.0000,1.0000,A--,0.4000
1.0000,4.0000,1.0000,B--,0.1200
1.0000,4.0000,1.0000,X--,0.1400
1.0000,4.5000,1.0000,A--,0.0500
1.0000,4.5000,1.0000,B--,0.0100
1.0000,4.5000,1.0000,X--,0.0200
1.0000,5.0000,1.0000,A--,0.0200
1.0000,5.0000,1.0000,B--,0.0000
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.8800
1.0000,0.5000,1.0000,B--,0.7100
1.0000,0.5000,1.0000,X--,0.7800
1.0000,1.0000,1.0000,A--,0.9600
1.0000,1.0000,1.0000,B--,0.8000
1.0000,1.0000,1.0000,X--,0.8400
1.0000,1.5000,1.0000,A--,0.9000
1.0000,1.5000,1.0000,B--,0.7500
1.0000,1.5000,1.0000,X--,0.8400
1.0000,2.0000,1.0000,A--,0.9100
1.0000,2.0000,1.0000,B--,0.7500
1.0000,2.0000,1.0000,X--,0.7700
1.0000,2.5000,1.0000,A--,0.9500
1.0000,2.5000,1.0000,B--,0.6200
1.0000,2.5000,1.0000,X--,0.7100
1.0000,3.0000,1.0000,A--,0.8800
1.0000,3.0000,1.0000,B--,0.6900
1.0000,3.0000,1.0000,X--,0.7400
1.0000,3.5000,1.0000,A--,0.7600
1.0000,3.5000,1.0000,B--,0.4900
1.0000,3.5000,1.0000,X--,0.3900
1.0000,4.0000,1.0000,A--,0.3200
1.0000,4.0000,1.0000,B--,0.0800
1.0000,4.0000,1.0000,X--,0.1400
1.0000,4.5000,1.0000,A--,0.0500
1.0000,4.5000,1.0000,B--,0.0000
1.0000,4.5000,1.0000,X--,0.0000
1.0000,5.0000,1.0000,A--,0.0100
1.0000,5.0000,1.0000,B--,0.0000
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.9000
1.0000,0.5000,1.0000,B--,0.6700
1.0000,0.5000,1.0000,X--,0.8200
1.0000,1.0000,1.0000,A--,0.8900
1.0000,1.0000,1.0000,B--,0.7000
1.0000,1.0000,1.0000,X--,0.7800
1.0000,1.5000,1.0000,A--,0.8900
1.0000,1.5000,1.0000,B--,0.7000
1.0000,1.5000,1.0000,X--,0.6700
1.0000,2.0000,1.0000,A--,0.9000
1.0000,2.0000,1.0000,B--,0.7100
1.0000,2.0000,1.0000,X--,0.7700
1.0000,2.5000,1.0000,A--,0.8900
1.0000,2.5000,1.0000,B--,0.7900
1.0000,2.5000,1.0000,X--,0.8200
1.0000,3.0000,1.0000,A--,0.9600
1.0000,3.0000,1.0000,B--,0.6800
1.0000,3.0000,1.0000,X--,0.8100
1.0000,3.5000,1.0000,A--,0.7500
1.0000,3.5000,1.0000,B--,0.4200
1.0000,3.5000,1.0000,X--,0.4200
1.0000,4.0000,1.0000,A--,0.3500
1.0000,4.0000,1.0000,B--,0.1100
1.0000,4.0000,1.0000,X--,0.0900
1.0000,4.5000,1.0000,A--,0.0600
1.0000,4.5000,1.0000,B--,0.0300
1.0000,4.5000,1.0000,X--,0.0100
1.0000,5.0000,1.0000,A--,0.0500
1.0000,5.0000,1.0000,B--,0.0200
1.0000,5.0000,1.0000,X--,0.0000
1.0000,6.0000,1.0000,A--,0.0000
1.0000,6.0000,1.0000,B--,0.0000
1.0000,6.0000,1.0000,X--,0.0000
1.0000,6.5000,1.0000,A--,0.0000
1.0000,6.5000,1.0000,B--,0.0000
1.0000,6.5000,1.0000,X--,0.0000
