Noise,Intensity,BLC,Threshold,Stimulus,Percentage
0.1000,0.2500,0.0000,1.0000,A1X,0.8800
0.1000,0.2500,0.0000,1.0000,B1X,0.6600
0.1000,0.2500,0.0000,1.0000,A1B1,0.4500
0.1000,0.2500,0.5000,1.0000,A1X,0.8800
0.1000,0.2500,0.5000,1.0000,B1X,0.6400
0.1000,0.2500,0.5000,1.0000,A1B1,0.3700
0.1000,0.2500,1.0000,1.0000,A1X,0.9300
0.1000,0.2500,1.0000,1.0000,B1X,0.6400
0.1000,0.2500,1.0000,1.0000,A1B1,0.4800
0.1000,0.2500,1.5000,1.0000,A1X,0.8800
0.1000,0.2500,1.5000,1.0000,B1X,0.6100
0.1000,0.2500,1.5000,1.0000,A1B1,0.3800
0.1000,0.2500,2.0000,1.0000,A1X,0.8900
0.1000,0.2500,2.0000,1.0000,B1X,0.6500
0.1000,0.2500,2.0000,1.0000,A1B1,0.4300
0.1000,0.2500,2.5000,1.0000,A1X,0.8500
0.1000,0.2500,2.5000,1.0000,B1X,0.6100
0.1000,0.2500,2.5000,1.0000,A1B1,0.4500
0.1000,0.2500,3.0000,1.0000,A1X,0.8600
0.1000,0.2500,3.0000,1.0000,B1X,0.6600
0.1000,0.2500,3.0000,1.0000,A1B1,0.3700
0.1000,0.2500,3.5000,1.0000,A1X,0.3800
0.1000,0.2500,3.5000,1.0000,B1X,0.0900
0.1000,0.2500,3.5000,1.0000,A1B1,0.0300
0.1000,0.2500,4.0000,1.0000,A1X,0.0100
0.1000,0.2500,4.0000,1.0000,B1X,0.0000
0.1000,0.2500,4.0000,1.0000,A1B1,0.0000
0.1000,0.2500,4.5000,1.0000,A1X,0.0000
0.1000,0.2500,4.5000,1.0000,B1X,0.0000
0.1000,0.2500,4.5000,1.0000,A1B1,0.0000
0.1000,0.2500,0.0000,1.0000,A1X,0.9300
0.1000,0.2500,0.0000,1.0000,B1X,0.7300
0.1000,0.2500,0.0000,1.0000,A1B1,0.4300
0.1000,0.2500,0.5000,1.0000,A1X,0.9400
0.1000,0.2500,0.5000,1.0000,B1X,0.5700
0.1000,0.2500,0.5000,1.0000,A1B1,0.4500
0.1000,0.2500,1.0000,1.0000,A1X,0.8300
0.1000,0.2500,1.0000,1.0000,B1X,0.5900
0.1000,0.2500,1.0000,1.0000,A1B1,0.4800
0.1000,0.2500,1.5000,1.0000,A1X,0.8300
0.1000,0.2500,1.5000,1.0000,B1X,0.5900
0.1000,0.2500,1.5000,1.0000,A1B1,0.3800
0.1000,0.2500,2.0000,1.0000,A1X,0.8800
0.1000,0.2500,2.0000,1.0000,B1X,0.6500
0.1000,0.2500,2.0000,1.0000,A1B1,0.4700
0.1000,0.2500,2.5000,1.0000,A1X,0.8800
0.1000,0.2500,2.5000,1.0000,B1X,0.6800
0.1000,0.2500,2.5000,1.0000,A1B1,0.4000
0.1000,0.2500,3.0000,1.0000,A1X,0.8600
0.1000,0.2500,3.0000,1.0000,B1X,0.6300
0.1000,0.2500,3.0000,1.0000,A1B1,0.3800
0.1000,0.2500,3.5000,1.0000,A1X,0.3600
0.1000,0.2500,3.5000,1.0000,B1X,0.0900
0.1000,0.2500,3.5000,1.0000,A1B1,0.0200
0.1000,0.2500,4.0000,1.0000,A1X,0.0100
0.1000,0.2500,4.0000,1.0000,B1X,0.0000
0.1000,0.2500,4.0000,1.0000,A1B1,0.0000
0.1000,0.2500,4.5000,1.0000,A1X,0.0000
0.1000,0.2500,4.5000,1.0000,B1X,0.0000
0.1000,0.2500,4.5000,1.0000,A1B1,0.0000
