Intensity,BLC,Threshold,Stimulus,Percentage
0.5000,0.5000,0.5000,A--,0.6500
0.5000,0.5000,0.5000,B--,0.4800
0.5000,0.5000,0.5000,X--,0.5200
0.5000,0.5000,1.0000,A--,0.5000
0.5000,0.5000,1.0000,B--,0.5400
0.5000,0.5000,1.0000,X--,0.5100
0.5000,0.5000,1.5000,A--,0.6200
0.5000,0.5000,1.5000,B--,0.4700
0.5000,0.5000,1.5000,X--,0.5100
0.5000,0.5000,2.0000,A--,0.5900
0.5000,0.5000,2.0000,B--,0.5400
0.5000,0.5000,2.0000,X--,0.5400
0.5000,0.5000,2.5000,A--,0.6600
0.5000,0.5000,2.5000,B--,0.5100
0.5000,0.5000,2.5000,X--,0.4200
0.5000,1.0000,0.5000,A--,0.5800
0.5000,1.0000,0.5000,B--,0.5100
0.5000,1.0000,0.5000,X--,0.5300
0.5000,1.0000,1.0000,A--,0.5600
0.5000,1.0000,1.0000,B--,0.5300
0.5000,1.0000,1.0000,X--,0.4600
0.5000,1.0000,1.5000,A--,0.6300
0.5000,1.0000,1.5000,B--,0.5100
0.5000,1.0000,1.5000,X--,0.5000
0.5000,1.0000,2.0000,A--,0.6200
0.5000,1.0000,2.0000,B--,0.4900
0.5000,1.0000,2.0000,X--,0.4700
0.5000,1.0000,2.5000,A--,0.5500
0.5000,1.0000,2.5000,B--,0.5000
0.5000,1.0000,2.5000,X--,0.5200
0.5000,1.5000,0.5000,A--,0.6000
0.5000,1.5000,0.5000,B--,0.4400
0.5000,1.5000,0.5000,X--,0.5300
0.5000,1.5000,1.0000,A--,0.5800
0.5000,1.5000,1.0000,B--,0.3900
0.5000,1.5000,1.0000,X--,0.4900
0.5000,1.5000,1.5000,A--,0.6800
0.5000,1.5000,1.5000,B--,0.4800
0.5000,1.5000,1.5000,X--,0.4400
0.5000,1.5000,2.0000,A--,0.6600
0.5000,1.5000,2.0000,B--,0.4400
0.5000,1.5000,2.0000,X--,0.5900
0.5000,1.5000,2.5000,A--,0.6200
0.5000,1.5000,2.5000,B--,0.4700
0.5000,1.5000,2.5000,X--,0.5100
0.5000,2.0000,0.5000,A--,0.6700
