Intensity,BLC,Threshold,Stimulus,Percentage
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
1.0000,2.0000,1.0000,X--,0.0000
1.0000,2.5000,1.0000,A--,0.0000
1.0000,2.5000,1.0000,B--,0.0000
1.0000,2.5000,1.0000,X--,0.0000
1.0000,0.5000,1.0000,A--,0.0000
1.0000,0.5000,1.0000,B--,0.0000
1.0000,0.5000,1.0000,X--,0.0000
1.0000,1.0000,1.0000,A--,0.0000
1.0000,1.0000,1.0000,B--,0.0000
1.0000,1.0000,1.0000,X--,0.0000
1.0000,1.5000,1.0000,A--,0.0000
1.0000,1.5000,1.0000,B--,0.0000
1.0000,1.5000,1.0000,X--,0.0000
1.0000,2.0000,1.0000,A--,0.0000
1.0000,2.0000,1.0000,B--,0.0000
