PTEV,Gamma,Trajectory,NumAttributes,RuminationFrequency,PTES,W,Proportion
1,0.8,Resilient,4,0,0,4,1
1,0.8,Resilient,4,0,0,8,1
1,0.8,Resilient,4,0,0,12,1
1,0.8,Resilient,4,0,0.25,4,1
1,0.8,Resilient,4,0,0.25,8,1
1,0.8,Resilient,4,0,0.25,12,1
1,0.8,Resilient,4,0,0.5,4,1
1,0.8,Resilient,4,0,0.5,8,1
1,0.8,Resilient,4,0,0.5,12,1
1,0.8,Resilient,4,0,0.75,4,1
1,0.8,Resilient,4,0,0.75,8,1
1,0.8,Resilient,4,0,0.75,12,1
1,0.8,Resilient,4,20,0,4,1
1,0.8,Resilient,4,20,0,8,1
1,0.8,Resilient,4,20,0,12,1
1,0.8,Resilient,4,20,0.25,4,1
1,0.8,Resilient,4,20,0.25,8,1
1,0.8,Resilient,4,20,0.25,12,1
1,0.8,Resilient,4,20,0.5,4,1
1,0.8,Resilient,4,20,0.5,8,1
1,0.8,Resilient,4,20,0.5,12,1
1,0.8,Resilient,4,20,0.75,4,1
1,0.8,Resilient,4,20,0.75,8,1
1,0.8,Resilient,4,20,0.75,12,1
1,0.8,Resilient,6,0,0,4,1
1,0.8,Resilient,6,0,0,8,1
1,0.8,Resilient,6,0,0,12,1
1,0.8,Resilient,6,0,0.25,4,1
1,0.8,Resilient,6,0,0.25,8,1
1,0.8,Resilient,6,0,0.25,12,1
1,0.8,Resilient,6,0,0.5,4,1
1,0.8,Resilient,6,0,0.5,8,1
1,0.8,Resilient,6,0,0.5,12,1
1,0.8,Resilient,6,0,0.75,4,1
1,0.8,Resilient,6,0,0.75,8,1
1,0.8,Resilient,6,0,0.75,12,1
1,0.8,Resilient,6,20,0,4,1
1,0.8,Resilient,6,20,0,8,1
1,0.8,Resilient,6,20,0,12,1
1,0.8,Resilient,6,20,0.25,4,1
1,0.8,Resilient,6,20,0.25,8,1
1,0.8,Resilient,6,20,0.25,12,1
1,0.8,Resilient,6,20,0.5,4,1
1,0.8,Resilient,6,20,0.5,8,1
1,0.8,Resilient,6,20,0.5,12,1
1,0.8,Resilient,6,20,0.75,4,1
1,0.8,Resilient,6,20,0.75,8,1
1,0.8,Resilient,6,20,0.75,12,1
1,0.9,Resilient,4,0,0,4,1
1,0.9,Resilient,4,0,0,8,1
1,0.9,Resilient,4,0,0,12,1
1,0.9,Resilient,4,0,0.25,4,1
1,0.9,Resilient,4,0,0.25,8,1
1,0.9,Resilient,4,0,0.25,12,1
1,0.9,Resilient,4,0,0.5,4,1
1,0.9,Resilient,4,0,0.5,8,1
1,0.9,Resilient,4,0,0.5,12,1
1,0.9,Resilient,4,0,0.75,4,1
1,0.9,Resilient,4,0,0.75,8,1
1,0.9,Resilient,4,0,0.75,12,1
1,0.9,Resilient,4,20,0,4,1
1,0.9,Resilient,4,20,0,8,1
1,0.9,Resilient,4,20,0,12,1
1,0.9,Resilient,4,20,0.25,4,1
1,0.9,Resilient,4,20,0.25,8,1
1,0.9,Resilient,4,20,0.25,12,1
1,0.9,Resilient,4,20,0.5,4,1
1,0.9,Resilient,4,20,0.5,8,1
1,0.9,Resilient,4,20,0.5,12,1
1,0.9,Resilient,4,20,0.75,4,1
1,0.9,Resilient,4,20,0.75,8,1
1,0.9,Resilient,4,20,0.75,12,1
1,0.9,Resilient,6,0,0,4,1
1,0.9,Resilient,6,0,0,8,1
1,0.9,Resilient,6,0,0,12,1
1,0.9,Resilient,6,0,0.25,4,1
1,0.9,Resilient,6,0,0.25,8,1
1,0.9,Resilient,6,0,0.25,12,1
1,0.9,Resilient,6,0,0.5,4,1
1,0.9,Resilient,6,0,0.5,8,1
1,0.9,Resilient,6,0,0.5,12,1
1,0.9,Resilient,6,0,0.75,4,1
1,0.9,Resilient,6,0,0.75,8,1
1,0.9,Resilient,6,0,0.75,12,1
1,0.9,Resilient,6,20,0,4,1
1,0.9,Resilient,6,20,0,8,1
1,0.9,Resilient,6,20,0,12,1
1,0.9,Resilient,6,20,0.25,4,1
1,0.9,Resilient,6,20,0.25,8,1
1,0.9,Resilient,6,20,0.25,12,1
1,0.9,Resilient,6,20,0.5,4,1
1,0.9,Resilient,6,20,0.5,8,1
1,0.9,Resilient,6,20,0.5,12,1
1,0.9,Resilient,6,20,0.75,4,1
1,0.9,Resilient,6,20,0.75,8,1
1,0.9,Resilient,6,20,0.75,12,1
1,0.95,Resilient,4,0,0,4,1
1,0.95,Resilient,4,0,0,8,1
1,0.95,Resilient,4,0,0,12,1
1,0.95,Resilient,4,0,0.25,4,1
1,0.95,Resilient,4,0,0.25,8,1
1,0.95,Resilient,4,0,0.25,12,1
1,0.95,Resilient,4,0,0.5,4,1
1,0.95,Resilient,4,0,0.5,8,1
1,0.95,Resilient,4,0,0.5,12,1
1,0.95,Resilient,4,0,0.75,4,1
1,0.95,Resilient,4,0,0.75,8,1
1,0.95,Resilient,4,0,0.75,12,1
1,0.95,Resilient,4,20,0,4,1
1,0.95,Resilient,4,20,0,8,1
1,0.95,Resilient,4,20,0,12,1
1,0.95,Resilient,4,20,0.25,4,1
1,0.95,Resilient,4,20,0.25,8,1
1,0.95,Resilient,4,20,0.25,12,1
1,0.95,Resilient,4,20,0.5,4,1
1,0.95,Resilient,4,20,0.5,8,1
1,0.95,Resilient,4,20,0.5,12,1
1,0.95,Resilient,4,20,0.75,4,1
1,0.95,Resilient,4,20,0.75,8,1
1,0.95,Resilient,4,20,0.75,12,1
1,0.95,Resilient,6,0,0,4,1
1,0.95,Resilient,6,0,0,8,1
1,0.95,Resilient,6,0,0,12,1
1,0.95,Resilient,6,0,0.25,4,1
1,0.95,Resilient,6,0,0.25,8,1
1,0.95,Resilient,6,0,0.25,12,1
1,0.95,Resilient,6,0,0.5,4,1
1,0.95,Resilient,6,0,0.5,8,1
1,0.95,Resilient,6,0,0.5,12,1
1,0.95,Resilient,6,0,0.75,4,1
1,0.95,Resilient,6,0,0.75,8,1
1,0.95,Resilient,6,0,0.75,12,1
1,0.95,Resilient,6,20,0,4,1
1,0.95,Resilient,6,20,0,8,1
1,0.95,Resilient,6,20,0,12,1
1,0.95,Resilient,6,20,0.25,4,1
1,0.95,Resilient,6,20,0.25,8,1
1,0.95,Resilient,6,20,0.25,12,1
1,0.95,Resilient,6,20,0.5,4,1
1,0.95,Resilient,6,20,0.5,8,1
1,0.95,Resilient,6,20,0.5,12,1
1,0.95,Resilient,6,20,0.75,4,1
1,0.95,Resilient,6,20,0.75,8,1
1,0.95,Resilient,6,20,0.75,12,1
20,0.8,Chronic,4,0,0.25,4,0.1
20,0.8,Chronic,4,0,0.5,4,0.32
20,0.8,Chronic,4,0,0.75,4,0.54
20,0.8,Chronic,4,0,0.75,8,0.4
20,0.8,Chronic,4,0,0.75,12,0.02
20,0.8,Chronic,4,20,0,4,0.08
20,0.8,Chronic,4,20,0,8,0.02
20,0.8,Chronic,4,20,0.25,4,0.12
20,0.8,Chronic,4,20,0.25,8,0.06
20,0.8,Chronic,4,20,0.5,4,0.3
20,0.8,Chronic,4,20,0.5,8,0.1
20,0.8,Chronic,4,20,0.5,12,0.04
20,0.8,Chronic,4,20,0.75,4,0.7
20,0.8,Chronic,4,20,0.75,8,0.38
20,0.8,Chronic,4,20,0.75,12,0.02
20,0.8,Chronic,6,0,0.25,4,0.1
20,0.8,Chronic,6,0,0.5,4,0.18
20,0.8,Chronic,6,0,0.5,8,0.24
20,0.8,Chronic,6,0,0.75,4,0.14
20,0.8,Chronic,6,0,0.75,8,0.5
20,0.8,Chronic,6,0,0.75,12,0.14
20,0.8,Chronic,6,20,0,4,0.06
20,0.8,Chronic,6,20,0,8,0.06
20,0.8,Chronic,6,20,0,12,0.02
20,0.8,Chronic,6,20,0.25,4,0.12
20,0.8,Chronic,6,20,0.25,8,0.08
20,0.8,Chronic,6,20,0.25,12,0.04
20,0.8,Chronic,6,20,0.5,4,0.14
20,0.8,Chronic,6,20,0.5,8,0.26
20,0.8,Chronic,6,20,0.5,12,0.02
20,0.8,Chronic,6,20,0.75,4,0.36
20,0.8,Chronic,6,20,0.75,8,0.52
20,0.8,Chronic,6,20,0.75,12,0.36
20,0.8,Delayed,4,0,0.75,4,0.1
20,0.8,Delayed,4,0,0.75,8,0.02
20,0.8,Delayed,4,20,0.5,4,0.04
20,0.8,Delayed,4,20,0.75,4,0.04
20,0.8,Delayed,4,20,0.75,8,0.04
20,0.8,Delayed,6,0,0.75,4,0.02
20,0.8,Delayed,6,0,0.75,8,0.02
20,0.8,Delayed,6,20,0.25,4,0.02
20,0.8,Delayed,6,20,0.5,4,0.02
20,0.8,Delayed,6,20,0.75,4,0.06
20,0.8,Delayed,6,20,0.75,8,0.06
20,0.8,Recovery,4,0,0,4,0.02
20,0.8,Recovery,4,0,0.25,4,0.04
20,0.8,Recovery,4,0,0.5,4,0.24
20,0.8,Recovery,4,0,0.5,8,0.02
20,0.8,Recovery,4,0,0.75,4,0.18
20,0.8,Recovery,4,0,0.75,8,0.2
20,0.8,Recovery,4,0,0.75,12,0.02
20,0.8,Recovery,4,20,0,8,0.02
20,0.8,Recovery,4,20,0,12,0.02
20,0.8,Recovery,4,20,0.25,4,0.14
20,0.8,Recovery,4,20,0.25,12,0.04
20,0.8,Recovery,4,20,0.5,4,0.26
